,raceId,driverId,constructorId,circuitId,year,round,location,country,number_driver,grid,position_qualifying,driver_nationality,nationality_constructor,positionOrder,points,milliseconds,status,avg_lap_ms,pit_stop_count,avg_pit_duration_s,laps,fastestLapTime,fastestLapSpeed,rank,q1,q2,q3,max_quali_stage,did_not_finish,was_fastest_lap_missing
0,1074,844,6,3,2022,1,Sakhir,Bahrain,16,1,1,Monegasque,Italian,1,26.0,5853584,Finished,102694.45614035089,3,24.71733333333333,57,94.57,206.018,1.0,1:31.471,1:30.932,1:30.558,3,0,0
1,1074,832,6,3,2022,1,Sakhir,Bahrain,55,3,3,Spanish,Italian,2,18.0,5859182,Finished,102792.66666666669,3,24.46366666666667,57,95.74,203.501,3.0,1:31.567,1:30.787,1:30.687,3,0,0
2,1074,1,131,3,2022,1,Sakhir,Bahrain,44,5,5,British,German,3,15.0,5863259,Finished,102864.19298245614,3,25.52533333333333,57,96.228,202.469,5.0,1:32.285,1:31.048,1:31.238,3,0,0
3,1074,847,131,3,2022,1,Sakhir,Bahrain,63,9,9,British,German,4,12.0,5864795,Finished,102891.1403508772,3,25.598666666666663,57,96.302,202.313,6.0,1:32.269,1:31.252,1:32.216,3,0,0
4,1074,825,210,3,2022,1,Sakhir,Bahrain,20,7,7,Danish,American,5,10.0,5868338,Finished,102953.29824561405,3,25.80166666666667,57,96.623,201.641,8.0,1:31.955,1:31.461,1:31.808,3,0,0
5,1074,822,51,3,2022,1,Sakhir,Bahrain,77,6,6,Finnish,Swiss,6,8.0,5869703,Finished,102977.24561403508,3,25.412333333333333,57,96.599,201.691,7.0,1:31.919,1:31.717,1:31.560,3,0,0
6,1074,839,214,3,2022,1,Sakhir,Bahrain,31,11,11,French,French,7,6.0,5873007,Finished,103035.2105263158,3,26.703333333333333,57,97.11,200.63,14.0,1:32.041,1:31.782,DNQ,2,0,0
7,1074,852,213,3,2022,1,Sakhir,Bahrain,22,16,16,Japanese,Italian,8,4.0,5873970,Finished,103052.1052631579,3,24.877666666666663,57,97.104,200.642,13.0,1:32.750,DNQ,DNQ,1,0,0
8,1074,4,214,3,2022,1,Sakhir,Bahrain,14,8,8,Spanish,French,9,2.0,5875974,Finished,103087.26315789472,3,24.927333333333333,57,96.733,201.412,10.0,1:32.346,1:31.621,1:32.195,3,0,0
9,1074,855,51,3,2022,1,Sakhir,Bahrain,24,15,15,Chinese,Swiss,10,1.0,5876648,Finished,103099.08771929824,3,26.45533333333333,57,96.685,201.512,9.0,1:32.493,1:33.543,DNQ,2,0,0
10,1074,854,210,3,2022,1,Sakhir,Bahrain,47,12,12,German,American,11,0.0,5886158,Finished,103265.9298245614,2,25.4,57,96.956,200.948,11.0,1:32.380,1:31.998,DNQ,2,0,0
11,1074,840,117,3,2022,1,Sakhir,Bahrain,18,19,19,Canadian,British,12,0.0,5899457,Finished,103499.24561403508,3,25.91166666666667,57,97.146,200.555,15.0,1:33.032,DNQ,DNQ,1,0,0
12,1074,848,3,3,2022,1,Sakhir,Bahrain,23,14,14,Thai,British,13,0.0,5907516,Finished,103640.63157894736,3,25.16633333333333,57,97.355,200.125,18.0,1:32.726,1:32.664,DNQ,2,0,0
13,1074,817,1,3,2022,1,Sakhir,Bahrain,3,18,18,Australian,British,14,0.0,5908559,Finished,103658.9298245614,3,24.979666666666667,57,97.261,200.318,16.0,1:32.945,DNQ,DNQ,1,0,0
14,1074,846,1,3,2022,1,Sakhir,Bahrain,4,13,13,British,British,15,0.0,5909919,Finished,103682.7894736842,3,25.636666666666667,57,96.988,200.882,12.0,1:32.239,1:32.008,DNQ,2,0,0
15,1074,849,3,3,2022,1,Sakhir,Bahrain,6,20,20,Canadian,British,16,0.0,5915379,Finished,103778.57894736844,3,24.631,57,98.251,198.3,20.0,1:33.634,DNQ,DNQ,1,0,0
16,1074,807,117,3,2022,1,Sakhir,Bahrain,27,17,17,German,British,17,0.0,5917413,Finished,103814.26315789472,3,26.60833333333333,57,98.201,198.401,19.0,1:32.777,DNQ,DNQ,1,0,0
